id,question,answer,answer_value,answer_unit,is_blank,ref_id,ref_url,supporting_materials,evidence_type,explanation
q003,What is the name of the benchmark suite presented in a recent paper for measuring inference energy consumption?,,is_blank,is_blank,true,"['DOC chung2025 | page 0 | score 0.922', 'DOC chung2025 | page 1 | score 0.914', 'DOC chung2025 | page 1 | score 0.913']",['is_blank'],"The ML.ENERGY Benchmark is the first inference energy benchmark for modern generative AI models, and empowers users to not only measure but also optimize the energy consumption of their models.",text,explanation
q009,What were the net CO2e emissions from training the GShard-600B model?,net CO2e emissions,4.3,tCO2e,false,['DOC patterson2021'],['is_blank'],GShard-600B’s emissions (Table 4) are 4.3 tCO2e —3.5 passenger SF-NY round trips—from consuming 24 MWh to train the model that could have 2B users; the amortized per-user CO2e impact of model training would be less than the CO2e impact of sending one text message 26.,table,explanation
q054,What is the model size in gigabytes (GB) for the LLaMA-33B model?,Model Size,GB,GB,false,"['samsi2024|page 3|score 0.863', 'samsi2024|page 5|score 0.862']",['is_blank'],"TABLE II: Baseline configurations for LLaMA 7B, 13B, and 65B: This table lists the bare minimum hardware required for different models and the maximum batch size possible given the bare minimum hardware for a max response length of 256. These limits are imposed by a combination of GPU memory, model size, response length and the number of GPUs.",table,explanation: Table provides model size information in GB
q062,"What was the total electricity consumption of all Google Cloud TPU pods worldwide in 2023, in megawatt-hours?",Total electricity consumption of Google Cloud TPU pods worldwide in 2023,391509,MWh,false,['DOC patterson2021'],['is_blank'],"For GPT-4o inference, we find that GPT-4o inference would require approximately 391,509 MWh annually at minimum and 463,269 MWh at maximum, as seen in Figure 5.",evidence_type,figure: explanation
q075,True or False: Hyperscale data centers in 2020 achieved more than 40% higher efficiency compared to traditional data centers.,,is_blank,is_blank,true,"['DOC wu2021b', 'DOC patterson2021']",['is_blank'],"In 2020, hyperscale data centers achieved more than 40% higher efficiency compared to traditional data centers.",evidence_type,text: explanation
q078,"For every medium-length GPT-3 completion (prompt= 800 words; response 150 - 300 words), roughly how many 500 mL bottles of water does the model 'drink'?",Water consumption,500,500 mL bottles,false,"['DOC li2025b', 'DOC jegham2025']",['is_blank'],"According to the text, 'GPT-3 needs to “drink” (i.e., consume) a 500ml bottle of water for roughly 10 – 50 medium-length responses, depending on when and where it is deployed.'",evidence_type,text: explanation
q091,"From a sample of 60 papers from top AI conferences, what is the difference between the percentage of CVPR papers that target accuracy and the percentage of CVPR papers that target efficiency?",percent,-5,percent,false,['DOC schwartz2019 | page 2 | score 0.917'],['is_blank'],"In all conferences we considered, a large majority of the papers target accuracy (90% of ACL papers, 80% of NeurIPS papers and 75% of CVPR papers).",text,explanation
q102,"True or False: The AI Act makes energy consumption data from providers publicly available to NGOs, analysts, and the general public.",,is_blank,is_blank,true,"['DOC ebert2024 | page 5 | score 0.924', 'DOC ebert2024 | page 8 | score 0.912']",['is_blank'],"However, it does not mandate the disclosure of energy consumption. This results in an unwarrented lack of visibility concerning the environmental impact and energy usage of these models.",evidence_type,text: explanation
q105,What is the projected maximum batch size (in samples) for fine-tuning a Mixtral model with a projected GPU capacity of 100?,samples,35,samples,false,"['DOC xia2024 | page 8 | score 0.941', 'DOC xia2024 | page 8 | score 0.922']",['is_blank'],"For GPU memory capacities of 100GB and 120GB, our model predicts that the maximum batch sizes supported for fine-tuning Mixtral will be 28 and 35, respectively.",table,explanation
q106,What was the approximate speedup in inference throughput for LLaMA-7B when using NVIDIA A100 GPUs compared to V100 GPUs?,speedup in inference throughput,2,multiplier,false,['samsi2024'],['https://arxiv.org/pdf/2310.03003'],"where from a 2
times (7B) to a 1.25 times increase (13B) in inference latency
on the A100 when compared to the V100 across words per
second, tokens per second, and responses per second.",text,explanation
